Label ID,Support,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
PHONE,121.0,116,1,5,154756,0.9914529914529915,0.9586776859504132,0.9747899159663866
O,146766.0,146630,130,136,7982,0.9991142000545108,0.9990733548642056,0.9990937770418974
BIOID,,0,0,0,154878,0.0,0.0,0.0
ORGANIZATION,60.0,26,2,34,154816,0.9285714285714286,0.43333333333333335,0.5909090909090909
HEALTHPLAN,,0,0,0,154878,0.0,0.0,0.0
CITY,217.0,206,25,11,154636,0.8917748917748918,0.9493087557603687,0.9196428571428572
USERNAME,29.0,27,6,2,154843,0.8181818181818182,0.9310344827586207,0.8709677419354839
STREET,337.0,330,16,7,154525,0.953757225433526,0.9792284866468842,0.9663250366032211
PROFESSION,129.0,119,24,10,154725,0.8321678321678322,0.9224806201550387,0.875
DOCTOR,1282.0,1255,32,27,153564,0.9751359751359752,0.9789391575663027,0.9770338653172441
PATIENT,1066.0,1045,12,21,153800,0.988647114474929,0.9803001876172608,0.9844559585492226
STATE,149.0,143,9,6,154720,0.9407894736842105,0.959731543624161,0.9501661129568106
DATE,2570.0,2545,24,25,152284,0.990657843518879,0.9902723735408561,0.9904650710254914
LOCATION-OTHER,8.0,0,0,8,154870,0.0,0.0,0.0
COUNTRY,80.0,55,4,25,154794,0.9322033898305084,0.6875,0.7913669064748202
URL,,0,0,0,154878,0.0,0.0,0.0
MEDICALRECORD,314.0,313,8,1,154556,0.9750778816199377,0.9968152866242038,0.9858267716535433
DEVICE,4.0,0,0,4,154874,0.0,0.0,0.0
FAX,1.0,0,0,1,154877,0.0,0.0,0.0
ZIP,112.0,112,2,0,154764,0.9824561403508771,1.0,0.9911504424778761
EMAIL,,0,0,0,154878,0.0,0.0,0.0
HOSPITAL,1145.0,1102,66,43,153667,0.9434931506849316,0.9624454148471616,0.9528750540423694
IDNUM,24.0,22,5,2,154849,0.8148148148148148,0.9166666666666666,0.8627450980392156
AGE,464.0,455,11,9,154403,0.9763948497854077,0.9806034482758621,0.9784946236559139
