Trained Records Size,O,PER,MISC,ORG,LOC,macro avg,weighted avg,confidence,eval_size
1,0.9316044380125422,0.0007383479464697,0.0006017752369489,0.0092468307233407,0.0021095334685598,0.1888601850775723,0.8226354842749559,,0
3,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
5,0.9377388839952512,0.0,0.0,0.0,0.0011550202128537,0.1877787808416209,0.8278627656507535,,0
7,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
10,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
13,0.9377992079844968,0.0,0.0,0.0,0.005606397889356,0.1886811211747706,0.8281101172956892,,0
17,0.9377597015897088,0.0,0.0,0.0,0.0006612116703859,0.1876841826520189,0.8278596107336745,,0
22,0.937738154050007,0.0,0.0,0.0,0.0,0.1875476308100014,0.8278117574435703,,0
27,0.9377597015897088,0.0016722408026755,0.0,0.0,0.0003306604943374,0.1879525205773443,0.8279100296921383,,0
33,0.937784841637624,0.0042671614100185,0.0,0.0,0.0,0.1884104006095285,0.8280184089804281,,0
40,0.9411226592048216,0.1256281407035175,0.0,0.0,0.1476885828856775,0.2428878765588033,0.8421099440167731,,0
49,0.947384307002914,0.0939989378651088,0.0,0.0019150973507819,0.3665366891173343,0.2819670062672278,0.8559754791222647,,0
59,0.9661515689405769,0.5800075065682472,0.0049955921245959,0.0025641025641025,0.6042792122165979,0.431599596482824,0.9018771995090976,,0
71,0.939176594226801,0.067982062780269,0.0,0.0006435006435006,0.0444942381562099,0.2104592791613561,0.8336645733322879,0.9211165295958252,0
85,0.9727909289834892,0.7492391304347825,0.0108991825613079,0.0,0.5372473693001504,0.454035322255946,0.911487354950502,0.8800361292001514,0
101,0.9829016254819218,0.6388905710652214,0.0132890365448504,0.0,0.5387050933659095,0.4347572652915806,0.916254717910964,0.9060927387312382,0
120,0.9848110797911854,0.6874532626719121,0.0006095702529716,0.0006435006435006,0.6982166159199651,0.4743468058559069,0.9264858283254914,0.9486219327131064,0
142,0.9877465964460458,0.8567928354173707,0.0069855732725892,0.0259247549794498,0.7132360550553659,0.5181371630341643,0.9367313700329992,0.946455423199117,0
168,0.9767059400060631,0.775459221160911,0.1439797923098512,0.4577259475218659,0.6864612631040654,0.6080664328205513,0.9307407479160282,0.946455423199117,0
199,0.9809510225259586,0.8972916846932596,0.5109269027882442,0.5711889988260943,0.6915314855026184,0.730378018867235,0.949381842760708,0.9406421206664236,0
235,0.9831643197774008,0.9112095702259636,0.3700290979631426,0.5992380952380952,0.7573481078035496,0.7241978382016303,0.9517271474575768,0.943672884948712,0
277,0.989453931776504,0.9074517660380644,0.4133145142319454,0.6715678919729932,0.8181480411179457,0.7599872290274906,0.9616187788906602,0.9509312662730904,0
